session,bbid,sponsor,date of vote, title, url
2017-2018,65,Brandon Bosley,07/07/2017,Vacation of alley at Carter Grand Penrose Obear,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10830
2017-2018,67,Scott Ogilvie,07/07/2017,6300 Clayton TIF Plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10832
2017-2018,68,Scott Ogilvie,07/07/2017,6300 Clayton TIf Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10833
2017-2018,69,Scott Ogilvie,07/07/2017,6300 Clayton TIF Note,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10834
2017-2018,73,Marlene E Davis,07/07/2017,Honorary street name change to Justine M. Petersen Pathway,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10838
2017-2018,74,Terry Kennedy,07/07/2017,Redevelopment plan for Cook & Finney Scattered Sites,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10839
2017-2018,75,Joseph Vaccaro,07/07/2017,Redevelopment plan for 3118 Watson Road,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10840
2017-2018,80,Cara Spencer,07/07/2017,Ordinance establishing 4-way stop at Oregon and Cherokee,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10845
2017-2018,81,Cara Spencer,07/07/2017,Ordinance establishing 4-way stop at Potomac and Louisiana,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10846
2017-2018,82,Scott Ogilvie,07/07/2017,Vacation of Clifton at Columbia,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10847
2017-2018,83,Stephen Conway,07/07/2017,Sale of 1320 Market to MCB Hotel Owner LLC,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10848
2017-2018,88,Brandon Bosley,07/07/2017,Ordinance prohibiting liquor in 3rd Ward,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10853
2017-2018,90,Brandon Bosley,07/07/2017,Ordinance regarding development plans for Madison Acres Area,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10855
2017-2018,70,Stephen Conway,07/07/2017,Municipal Courts Bldg Hotel TIF Plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10835
2017-2018,71,Stephen Conway,07/07/2017,Municipal Courts Bldg TIF Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10836
2017-2018,72,Stephen Conway,07/07/2017,Municipal Courts Bldg Hotel TIF Note,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10837
2017-2018,3,Joseph D Roddy,06/30/2017,Sale of 3699 Market Street,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10765
2017-2018,44,Jack Coatar,06/30/2017,Ordinance amending the petition to establish the 14th & Market CID,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10809
2017-2018,50,Stephen Conway,06/30/2017,Quit Claim for 1920 S. Kingshighway,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10815
2017-2018,55,Stephen Conway,06/30/2017,Transit Sales Tax 1994,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10820
2017-2018,56,Stephen Conway,06/30/2017,Transit Sales Tax 1997,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10821
2017-2018,1,Lewis E Reed,06/30/2017,Budget FY 17/18,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10774
2017-2018,39,Jeffrey L Boyd,06/30/2017,Parking Division operating expenses,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10804
2017-2018,35,Joseph Vaccaro,06/23/2017,Stolen car towing fee,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10800
2017-2018,19,Marlene E Davis,06/16/2017,Redevelopment plan for 3827 Shaw Blvd,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10783
2017-2018,20,Joseph D Roddy,06/16/2017,Redevelopment plan for 1301-03 S. Boyle,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10784
2017-2018,22,Joseph D Roddy,06/16/2017,Redevelopment plan for 4401 Gibson,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10786
2017-2018,23,Joseph D Roddy,06/16/2017,Redevelopment plan for 4443 Oakland,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10787
2017-2018,41,Christine Ingrassia,06/16/2017,Redevelopment plan for 2607 California,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10806
2017-2018,42,Joseph Vaccaro,06/16/2017,Street closing on Mardel west of Hampton Avenue,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10807
2017-2018,4,Scott Ogilvie,06/09/2017,Rezoning of 6510 Mitchell,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10766
2017-2018,5,Jack Coatar,06/09/2017,Text to amend Zoning Code,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10767
2017-2018,6,Dionne Flowers,06/09/2017,Rezoning 11050 and 11110 Riverview,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10768
2017-2018,7,Dionne Flowers,06/09/2017,Establishing Lighthouse St. Louis Area Special Use District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10769
2017-2018,8,Shane Cohn,06/09/2017,Dutchtown CID,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10770
2017-2018,10,Sharon Tyus,06/09/2017,Liquor Moratorium in Ward 1,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10772
2017-2018,12,n/a,06/02/2017,Tax and Revenue Anticipation Notes (TRANS),https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10776
2017-2018,17,Jeffrey L Boyd,06/02/2017,Street name change between Semple & Arlington to Rev. Reginald D. Rogers,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10781
2017-2018,27,Marlene E Davis,06/02/2017,Lease agreement Enterprise Leasing,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10791
2017-2018,28,Marlene E Davis,06/02/2017,Concession agreement with Air Pod Terminal Services,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10792
2017-2018,29,Marlene E Davis,06/02/2017,Lease agreement with Ameren - Mo,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10793
2017-2018,30,Samuel L Moore,06/02/2017,Ordinance establishing 3-way stop at Taylor and Kennerly,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10794
2017-2018,32,Joseph D Roddy,06/02/2017,Vacation of alley at Papin Sarah Chouteau and Talmage,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10796
2017-2018,33,Cara Spencer,06/02/2017,Stop sign at Chippewa & Marine,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10797
2017-2018,13,Carol Howard,05/25/2017,Ordinance establishing Neosho & Adkins 3-way stop,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10777
2017-2018,15,Scott Ogilvie,05/25/2017,Establishing three-way stop at Hoffman and Clifton,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10779
2017-2018,16,Scott Ogilvie,05/25/2017,Establishing three-way stop at Berthold and Graham,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10780
2017-2018,24,Dionne Flowers,05/25/2017,Vacation of the alley at Penrose Broadway Angelica and I-70,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10788
2017-2018,2,Marlene E Davis,05/19/2017,Airport 2007 Refunding Bonds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10764
