session,bbid,ward,alderperson,vote
2018-2019,157,19,Marlene E Davis,Aye
2018-2019,157,21,John Collins-Muhammad,Aye
2018-2019,157,22,Jeffrey L Boyd,Aye
2018-2019,157,23,Joseph Vaccaro,Aye
2018-2019,157,24,Scott Ogilvie,Aye
2018-2019,157,27,Pam Boyd,Aye
2018-2019,157,28,Heather Navarro,Aye
2018-2019,157,President,Lewis E Reed,Aye
2018-2019,157,26,Frank Williamson,Did Not Vote
2018-2019,157,1,Sharon Tyus,Present
2018-2019,157,25,Shane Cohn,Present
2018-2019,157,20,Cara Spencer,Absent
2018-2019,173,1,Sharon Tyus,Aye
2018-2019,173,2,Lisa Middlebrook,Aye
2018-2019,173,3,Brandon Bosley,Aye
2018-2019,173,4,Samuel L Moore,Aye
2018-2019,173,5,Tammika Hubbard,Aye
2018-2019,173,6,Christine Ingrassia,Aye
2018-2019,173,7,Jack Coatar,Aye
2018-2019,173,8,Annie Rice,Aye
2018-2019,173,9,Dan Guenther,Aye
2018-2019,173,10,Joseph Vollmer,Aye
2018-2019,173,11,Sarah Martin,Aye
2018-2019,173,12,Larry Arnowitz,Aye
2018-2019,173,13,Beth Murphy,Aye
2018-2019,173,14,Carol Howard,Aye
2018-2019,173,15,Megan E. Green,Aye
2018-2019,173,16,Tom Oldenburg,Aye
2018-2019,173,17,Joseph D Roddy,Aye
2018-2019,173,18,Terry Kennedy,Aye
2018-2019,173,19,Marlene E Davis,Aye
2018-2019,173,22,Jeffrey L Boyd,Aye
2018-2019,173,23,Joseph Vaccaro,Aye
2018-2019,173,27,Pam Boyd,Aye
2018-2019,173,28,Heather Navarro,Aye
2018-2019,173,President,Lewis E Reed,Aye
2018-2019,173,24,Scott Ogilvie,No
2018-2019,173,25,Shane Cohn,No
2018-2019,173,21,John Collins-Muhammad,Did Not Vote
2018-2019,173,26,Frank Williamson,Did Not Vote
2018-2019,173,20,Cara Spencer,Absent
2018-2019,129,1,Sharon Tyus,Aye
2018-2019,129,3,Brandon Bosley,Aye
2018-2019,129,4,Samuel L Moore,Aye
2018-2019,129,5,Tammika Hubbard,Aye
2018-2019,129,6,Christine Ingrassia,Aye
2018-2019,129,7,Jack Coatar,Aye
2018-2019,129,8,Annie Rice,Aye
2018-2019,129,9,Dan Guenther,Aye
2018-2019,129,10,Joseph Vollmer,Aye
2018-2019,129,11,Sarah Martin,Aye
2018-2019,129,13,Beth Murphy,Aye
2018-2019,129,14,Carol Howard,Aye
2018-2019,129,15,Megan E. Green,Aye
2018-2019,129,16,Tom Oldenburg,Aye
2018-2019,129,17,Joseph D Roddy,Aye
2018-2019,129,18,Terry Kennedy,Aye
2018-2019,129,19,Marlene E Davis,Aye
2018-2019,129,20,Cara Spencer,Aye
2018-2019,129,22,Jeffrey L Boyd,Aye
2018-2019,129,23,Joseph Vaccaro,Aye
2018-2019,129,24,Scott Ogilvie,Aye
2018-2019,129,25,Shane Cohn,Aye
2018-2019,129,26,Frank Williamson,Aye
2018-2019,129,28,Heather Navarro,Aye
2018-2019,129,President,Lewis E Reed,Aye
2018-2019,129,2,Lisa Middlebrook,Did Not Vote
2018-2019,129,21,John Collins-Muhammad,Did Not Vote
2018-2019,129,27,Pam Boyd,Did Not Vote
2018-2019,129,12,Larry Arnowitz,Absent
2018-2019,150,1,Sharon Tyus,Aye
2018-2019,150,3,Brandon Bosley,Aye
2018-2019,150,4,Samuel L Moore,Aye
2018-2019,150,5,Tammika Hubbard,Aye
2018-2019,150,6,Christine Ingrassia,Aye
2018-2019,150,7,Jack Coatar,Aye
2018-2019,150,8,Annie Rice,Aye
2018-2019,150,9,Dan Guenther,Aye
2018-2019,150,10,Joseph Vollmer,Aye
2018-2019,150,11,Sarah Martin,Aye
2018-2019,150,13,Beth Murphy,Aye
2018-2019,150,14,Carol Howard,Aye
2018-2019,150,15,Megan E. Green,Aye
2018-2019,150,16,Tom Oldenburg,Aye
2018-2019,150,17,Joseph D Roddy,Aye
2018-2019,150,18,Terry Kennedy,Aye
2018-2019,150,19,Marlene E Davis,Aye
2018-2019,150,20,Cara Spencer,Aye
2018-2019,150,22,Jeffrey L Boyd,Aye
2018-2019,150,23,Joseph Vaccaro,Aye
2018-2019,150,24,Scott Ogilvie,Aye
2018-2019,150,25,Shane Cohn,Aye
2018-2019,150,26,Frank Williamson,Aye
2018-2019,150,28,Heather Navarro,Aye
2018-2019,150,President,Lewis E Reed,Aye
2018-2019,150,2,Lisa Middlebrook,Did Not Vote
2018-2019,150,21,John Collins-Muhammad,Did Not Vote
2018-2019,150,27,Pam Boyd,Did Not Vote
2018-2019,150,12,Larry Arnowitz,Absent
2018-2019,152,1,Sharon Tyus,Aye
2018-2019,152,3,Brandon Bosley,Aye
2018-2019,152,4,Samuel L Moore,Aye
2018-2019,152,5,Tammika Hubbard,Aye
2018-2019,152,6,Christine Ingrassia,Aye
2018-2019,152,7,Jack Coatar,Aye
2018-2019,152,8,Annie Rice,Aye
2018-2019,152,9,Dan Guenther,Aye
2018-2019,152,10,Joseph Vollmer,Aye
2018-2019,152,11,Sarah Martin,Aye
2018-2019,152,13,Beth Murphy,Aye
2018-2019,152,14,Carol Howard,Aye
2018-2019,152,15,Megan E. Green,Aye
2018-2019,152,16,Tom Oldenburg,Aye
2018-2019,152,17,Joseph D Roddy,Aye
2018-2019,152,18,Terry Kennedy,Aye
2018-2019,152,19,Marlene E Davis,Aye
2018-2019,152,20,Cara Spencer,Aye
2018-2019,152,22,Jeffrey L Boyd,Aye
2018-2019,152,23,Joseph Vaccaro,Aye
2018-2019,152,24,Scott Ogilvie,Aye
2018-2019,152,25,Shane Cohn,Aye
2018-2019,152,26,Frank Williamson,Aye
2018-2019,152,28,Heather Navarro,Aye
2018-2019,152,President,Lewis E Reed,Aye
2018-2019,152,2,Lisa Middlebrook,Did Not Vote
2018-2019,152,21,John Collins-Muhammad,Did Not Vote
2018-2019,152,27,Pam Boyd,Did Not Vote
2018-2019,152,12,Larry Arnowitz,Absent
2018-2019,122,1,Sharon Tyus,Aye
2018-2019,122,2,Lisa Middlebrook,Aye
2018-2019,122,3,Brandon Bosley,Aye
2018-2019,122,4,Samuel L Moore,Aye
2018-2019,122,5,Tammika Hubbard,Aye
2018-2019,122,6,Christine Ingrassia,Aye
2018-2019,122,7,Jack Coatar,Aye
2018-2019,122,8,Annie Rice,Aye
2018-2019,122,9,Dan Guenther,Aye
2018-2019,122,10,Joseph Vollmer,Aye
2018-2019,122,12,Larry Arnowitz,Aye
2018-2019,122,13,Beth Murphy,Aye
2018-2019,122,14,Carol Howard,Aye
2018-2019,122,15,Megan E. Green,Aye
2018-2019,122,16,Tom Oldenburg,Aye
2018-2019,122,17,Joseph D Roddy,Aye
2018-2019,122,18,Terry Kennedy,Aye
2018-2019,122,19,Marlene E Davis,Aye
2018-2019,122,20,Cara Spencer,Aye
2018-2019,122,21,John Collins-Muhammad,Aye
2018-2019,122,22,Jeffrey L Boyd,Aye
2018-2019,122,23,Joseph Vaccaro,Aye
2018-2019,122,24,Scott Ogilvie,Aye
2018-2019,122,25,Shane Cohn,Aye
2018-2019,122,27,Pam Boyd,Aye
2018-2019,122,28,Heather Navarro,Aye
2018-2019,122,President,Lewis E Reed,Aye
2018-2019,122,26,Frank Williamson,Did Not Vote
2018-2019,122,11,Sarah Martin,Absent
2018-2019,140,1,Sharon Tyus,Aye
2018-2019,140,2,Lisa Middlebrook,Aye
2018-2019,140,3,Brandon Bosley,Aye
2018-2019,140,4,Samuel L Moore,Aye
2018-2019,140,6,Christine Ingrassia,Aye
2018-2019,140,7,Jack Coatar,Aye
2018-2019,140,8,Annie Rice,Aye
2018-2019,140,9,Dan Guenther,Aye
2018-2019,140,10,Joseph Vollmer,Aye
2018-2019,140,11,Sarah Martin,Aye
2018-2019,140,12,Larry Arnowitz,Aye
2018-2019,140,13,Beth Murphy,Aye
2018-2019,140,14,Carol Howard,Aye
2018-2019,140,15,Megan E. Green,Aye
2018-2019,140,16,Tom Oldenburg,Aye
2018-2019,140,17,Joseph D Roddy,Aye
2018-2019,140,18,Terry Kennedy,Aye
2018-2019,140,19,Marlene E Davis,Aye
2018-2019,140,20,Cara Spencer,Aye
2018-2019,140,21,John Collins-Muhammad,Aye
2018-2019,140,23,Joseph Vaccaro,Aye
2018-2019,140,24,Scott Ogilvie,Aye
2018-2019,140,26,Frank Williamson,Aye
2018-2019,140,28,Heather Navarro,Aye
2018-2019,140,President,Lewis E Reed,Aye
2018-2019,140,5,Tammika Hubbard,Absent
2018-2019,140,22,Jeffrey L Boyd,Absent
2018-2019,140,25,Shane Cohn,Absent
2018-2019,140,27,Pam Boyd,Absent
2018-2019,144,1,Sharon Tyus,Aye
2018-2019,144,2,Lisa Middlebrook,Aye
2018-2019,144,3,Brandon Bosley,Aye
2018-2019,144,4,Samuel L Moore,Aye
2018-2019,144,6,Christine Ingrassia,Aye
2018-2019,144,7,Jack Coatar,Aye
2018-2019,144,8,Annie Rice,Aye
2018-2019,144,9,Dan Guenther,Aye
2018-2019,144,10,Joseph Vollmer,Aye
2018-2019,144,11,Sarah Martin,Aye
2018-2019,144,12,Larry Arnowitz,Aye
2018-2019,144,13,Beth Murphy,Aye
2018-2019,144,14,Carol Howard,Aye
2018-2019,144,15,Megan E. Green,Aye
2018-2019,144,16,Tom Oldenburg,Aye
2018-2019,144,17,Joseph D Roddy,Aye
2018-2019,144,18,Terry Kennedy,Aye
2018-2019,144,19,Marlene E Davis,Aye
2018-2019,144,20,Cara Spencer,Aye
2018-2019,144,21,John Collins-Muhammad,Aye
2018-2019,144,23,Joseph Vaccaro,Aye
2018-2019,144,24,Scott Ogilvie,Aye
2018-2019,144,26,Frank Williamson,Aye
2018-2019,144,28,Heather Navarro,Aye
2018-2019,144,President,Lewis E Reed,Aye
2018-2019,144,5,Tammika Hubbard,Absent
2018-2019,144,22,Jeffrey L Boyd,Absent
2018-2019,144,25,Shane Cohn,Absent
2018-2019,144,27,Pam Boyd,Absent
2018-2019,145,6,Christine Ingrassia,Aye
2018-2019,145,7,Jack Coatar,Aye
2018-2019,145,8,Annie Rice,Aye
2018-2019,145,9,Dan Guenther,Aye
2018-2019,145,10,Joseph Vollmer,Aye
2018-2019,145,11,Sarah Martin,Aye
2018-2019,145,12,Larry Arnowitz,Aye
2018-2019,145,13,Beth Murphy,Aye
2018-2019,145,14,Carol Howard,Aye
2018-2019,145,15,Megan E. Green,Aye
2018-2019,145,16,Tom Oldenburg,Aye
2018-2019,145,17,Joseph D Roddy,Aye
2018-2019,145,18,Terry Kennedy,Aye
2018-2019,145,19,Marlene E Davis,Aye
2018-2019,145,20,Cara Spencer,Aye
2018-2019,145,23,Joseph Vaccaro,Aye
2018-2019,145,24,Scott Ogilvie,Aye
2018-2019,145,26,Frank Williamson,Aye
2018-2019,145,28,Heather Navarro,Aye
2018-2019,145,President,Lewis E Reed,Aye
2018-2019,145,1,Sharon Tyus,No
2018-2019,145,2,Lisa Middlebrook,No
2018-2019,145,3,Brandon Bosley,No
2018-2019,145,21,John Collins-Muhammad,No
2018-2019,145,4,Samuel L Moore,Present
2018-2019,145,5,Tammika Hubbard,Absent
2018-2019,145,22,Jeffrey L Boyd,Absent
2018-2019,145,25,Shane Cohn,Absent
2018-2019,145,27,Pam Boyd,Absent
2018-2019,108,1,Sharon Tyus,Aye
2018-2019,108,2,Lisa Middlebrook,Aye
2018-2019,108,3,Brandon Bosley,Aye
2018-2019,108,4,Samuel L Moore,Aye
2018-2019,108,5,Tammika Hubbard,Aye
2018-2019,108,6,Christine Ingrassia,Aye
2018-2019,108,8,Annie Rice,Aye
2018-2019,108,9,Dan Guenther,Aye
2018-2019,108,10,Joseph Vollmer,Aye
2018-2019,108,11,Sarah Martin,Aye
2018-2019,108,12,Larry Arnowitz,Aye
2018-2019,108,13,Beth Murphy,Aye
2018-2019,108,15,Megan E. Green,Aye
2018-2019,108,16,Tom Oldenburg,Aye
2018-2019,108,17,Joseph D Roddy,Aye
2018-2019,108,19,Marlene E Davis,Aye
2018-2019,108,22,Jeffrey L Boyd,Aye
2018-2019,108,24,Scott Ogilvie,Aye
2018-2019,108,26,Frank Williamson,Aye
2018-2019,108,27,Pam Boyd,Aye
2018-2019,108,14,Carol Howard,Did Not Vote
2018-2019,108,18,Terry Kennedy,Did Not Vote
2018-2019,108,20,Cara Spencer,Did Not Vote
2018-2019,108,21,John Collins-Muhammad,Did Not Vote
2018-2019,108,25,Shane Cohn,Did Not Vote
2018-2019,108,President,Lewis E Reed,Did Not Vote
2018-2019,108,7,Jack Coatar,Absent
2018-2019,108,23,Joseph Vaccaro,Absent
2018-2019,108,28,Heather Navarro,Absent
2018-2019,120,1,Sharon Tyus,Aye
2018-2019,120,2,Lisa Middlebrook,Aye
2018-2019,120,3,Brandon Bosley,Aye
2018-2019,120,4,Samuel L Moore,Aye
2018-2019,120,5,Tammika Hubbard,Aye
2018-2019,120,6,Christine Ingrassia,Aye
2018-2019,120,8,Annie Rice,Aye
2018-2019,120,9,Dan Guenther,Aye
2018-2019,120,10,Joseph Vollmer,Aye
2018-2019,120,11,Sarah Martin,Aye
2018-2019,120,12,Larry Arnowitz,Aye
2018-2019,120,13,Beth Murphy,Aye
2018-2019,120,15,Megan E. Green,Aye
2018-2019,120,16,Tom Oldenburg,Aye
2018-2019,120,17,Joseph D Roddy,Aye
2018-2019,120,19,Marlene E Davis,Aye
2018-2019,120,22,Jeffrey L Boyd,Aye
2018-2019,120,24,Scott Ogilvie,Aye
2018-2019,120,26,Frank Williamson,Aye
2018-2019,120,27,Pam Boyd,Aye
2018-2019,120,14,Carol Howard,Did Not Vote
2018-2019,120,18,Terry Kennedy,Did Not Vote
2018-2019,120,20,Cara Spencer,Did Not Vote
2018-2019,120,21,John Collins-Muhammad,Did Not Vote
2018-2019,120,25,Shane Cohn,Did Not Vote
2018-2019,120,President,Lewis E Reed,Did Not Vote
2018-2019,120,7,Jack Coatar,Absent
2018-2019,120,23,Joseph Vaccaro,Absent
2018-2019,120,28,Heather Navarro,Absent
2018-2019,121,1,Sharon Tyus,Aye
2018-2019,121,2,Lisa Middlebrook,Aye
2018-2019,121,3,Brandon Bosley,Aye
2018-2019,121,4,Samuel L Moore,Aye
2018-2019,121,5,Tammika Hubbard,Aye
2018-2019,121,6,Christine Ingrassia,Aye
2018-2019,121,8,Annie Rice,Aye
2018-2019,121,9,Dan Guenther,Aye
2018-2019,121,10,Joseph Vollmer,Aye
2018-2019,121,11,Sarah Martin,Aye
2018-2019,121,12,Larry Arnowitz,Aye
2018-2019,121,13,Beth Murphy,Aye
2018-2019,121,15,Megan E. Green,Aye
2018-2019,121,16,Tom Oldenburg,Aye
2018-2019,121,17,Joseph D Roddy,Aye
2018-2019,121,19,Marlene E Davis,Aye
2018-2019,121,22,Jeffrey L Boyd,Aye
2018-2019,121,24,Scott Ogilvie,Aye
2018-2019,121,26,Frank Williamson,Aye
2018-2019,121,27,Pam Boyd,Aye
2018-2019,121,14,Carol Howard,Did Not Vote
2018-2019,121,18,Terry Kennedy,Did Not Vote
2018-2019,121,20,Cara Spencer,Did Not Vote
2018-2019,121,21,John Collins-Muhammad,Did Not Vote
2018-2019,121,25,Shane Cohn,Did Not Vote
2018-2019,121,President,Lewis E Reed,Did Not Vote
2018-2019,121,7,Jack Coatar,Absent
2018-2019,121,23,Joseph Vaccaro,Absent
2018-2019,121,28,Heather Navarro,Absent
2018-2019,128,1,Sharon Tyus,Aye
2018-2019,128,2,Lisa Middlebrook,Aye
2018-2019,128,3,Brandon Bosley,Aye
2018-2019,128,4,Samuel L Moore,Aye
2018-2019,128,5,Tammika Hubbard,Aye
2018-2019,128,6,Christine Ingrassia,Aye
2018-2019,128,8,Annie Rice,Aye
2018-2019,128,9,Dan Guenther,Aye
2018-2019,128,10,Joseph Vollmer,Aye
2018-2019,128,11,Sarah Martin,Aye
2018-2019,128,12,Larry Arnowitz,Aye
2018-2019,128,13,Beth Murphy,Aye
2018-2019,128,15,Megan E. Green,Aye
2018-2019,128,16,Tom Oldenburg,Aye
2018-2019,128,17,Joseph D Roddy,Aye
2018-2019,128,19,Marlene E Davis,Aye
2018-2019,128,22,Jeffrey L Boyd,Aye
2018-2019,128,24,Scott Ogilvie,Aye
2018-2019,128,26,Frank Williamson,Aye
2018-2019,128,27,Pam Boyd,Aye
2018-2019,128,14,Carol Howard,Did Not Vote
2018-2019,128,18,Terry Kennedy,Did Not Vote
2018-2019,128,20,Cara Spencer,Did Not Vote
2018-2019,128,21,John Collins-Muhammad,Did Not Vote
2018-2019,128,25,Shane Cohn,Did Not Vote
2018-2019,128,President,Lewis E Reed,Did Not Vote
2018-2019,128,7,Jack Coatar,Absent
2018-2019,128,23,Joseph Vaccaro,Absent
2018-2019,128,28,Heather Navarro,Absent
2018-2019,134,1,Sharon Tyus,Aye
2018-2019,134,2,Lisa Middlebrook,Aye
2018-2019,134,3,Brandon Bosley,Aye
2018-2019,134,4,Samuel L Moore,Aye
2018-2019,134,5,Tammika Hubbard,Aye
2018-2019,134,6,Christine Ingrassia,Aye
2018-2019,134,8,Annie Rice,Aye
2018-2019,134,9,Dan Guenther,Aye
2018-2019,134,10,Joseph Vollmer,Aye
2018-2019,134,11,Sarah Martin,Aye
2018-2019,134,12,Larry Arnowitz,Aye
2018-2019,134,13,Beth Murphy,Aye
2018-2019,134,15,Megan E. Green,Aye
2018-2019,134,16,Tom Oldenburg,Aye
2018-2019,134,17,Joseph D Roddy,Aye
2018-2019,134,19,Marlene E Davis,Aye
2018-2019,134,22,Jeffrey L Boyd,Aye
2018-2019,134,24,Scott Ogilvie,Aye
2018-2019,134,26,Frank Williamson,Aye
2018-2019,134,27,Pam Boyd,Aye
2018-2019,134,14,Carol Howard,Did Not Vote
2018-2019,134,18,Terry Kennedy,Did Not Vote
2018-2019,134,20,Cara Spencer,Did Not Vote
2018-2019,134,21,John Collins-Muhammad,Did Not Vote
2018-2019,134,25,Shane Cohn,Did Not Vote
2018-2019,134,President,Lewis E Reed,Did Not Vote
2018-2019,134,7,Jack Coatar,Absent
2018-2019,134,23,Joseph Vaccaro,Absent
2018-2019,134,28,Heather Navarro,Absent
2018-2019,135,1,Sharon Tyus,Aye
2018-2019,135,2,Lisa Middlebrook,Aye
2018-2019,135,3,Brandon Bosley,Aye
2018-2019,135,4,Samuel L Moore,Aye
2018-2019,135,5,Tammika Hubbard,Aye
2018-2019,135,6,Christine Ingrassia,Aye
2018-2019,135,8,Annie Rice,Aye
2018-2019,135,9,Dan Guenther,Aye
2018-2019,135,10,Joseph Vollmer,Aye
2018-2019,135,11,Sarah Martin,Aye
2018-2019,135,12,Larry Arnowitz,Aye
2018-2019,135,13,Beth Murphy,Aye
2018-2019,135,15,Megan E. Green,Aye
2018-2019,135,16,Tom Oldenburg,Aye
2018-2019,135,17,Joseph D Roddy,Aye
2018-2019,135,19,Marlene E Davis,Aye
2018-2019,135,22,Jeffrey L Boyd,Aye
2018-2019,135,24,Scott Ogilvie,Aye
2018-2019,135,26,Frank Williamson,Aye
2018-2019,135,27,Pam Boyd,Aye
2018-2019,135,14,Carol Howard,Did Not Vote
2018-2019,135,18,Terry Kennedy,Did Not Vote
2018-2019,135,20,Cara Spencer,Did Not Vote
2018-2019,135,21,John Collins-Muhammad,Did Not Vote
2018-2019,135,25,Shane Cohn,Did Not Vote
2018-2019,135,President,Lewis E Reed,Did Not Vote
2018-2019,135,7,Jack Coatar,Absent
2018-2019,135,23,Joseph Vaccaro,Absent
2018-2019,135,28,Heather Navarro,Absent
2018-2019,149,1,Sharon Tyus,Aye
2018-2019,149,2,Lisa Middlebrook,Aye
2018-2019,149,3,Brandon Bosley,Aye
2018-2019,149,4,Samuel L Moore,Aye
2018-2019,149,5,Tammika Hubbard,Aye
2018-2019,149,6,Christine Ingrassia,Aye
2018-2019,149,8,Annie Rice,Aye
2018-2019,149,9,Dan Guenther,Aye
2018-2019,149,10,Joseph Vollmer,Aye
2018-2019,149,11,Sarah Martin,Aye
2018-2019,149,12,Larry Arnowitz,Aye
2018-2019,149,13,Beth Murphy,Aye
2018-2019,149,15,Megan E. Green,Aye
2018-2019,149,16,Tom Oldenburg,Aye
2018-2019,149,17,Joseph D Roddy,Aye
2018-2019,149,19,Marlene E Davis,Aye
2018-2019,149,22,Jeffrey L Boyd,Aye
2018-2019,149,24,Scott Ogilvie,Aye
2018-2019,149,26,Frank Williamson,Aye
2018-2019,149,27,Pam Boyd,Aye
2018-2019,149,14,Carol Howard,Did Not Vote
2018-2019,149,18,Terry Kennedy,Did Not Vote
2018-2019,149,20,Cara Spencer,Did Not Vote
2018-2019,149,21,John Collins-Muhammad,Did Not Vote
2018-2019,149,25,Shane Cohn,Did Not Vote
2018-2019,149,President,Lewis E Reed,Did Not Vote
2018-2019,149,7,Jack Coatar,Absent
2018-2019,149,23,Joseph Vaccaro,Absent
2018-2019,149,28,Heather Navarro,Absent
2018-2019,123,1,Sharon Tyus,Aye
2018-2019,123,4,Samuel L Moore,Aye
2018-2019,123,5,Tammika Hubbard,Aye
2018-2019,123,6,Christine Ingrassia,Aye
2018-2019,123,7,Jack Coatar,Aye
2018-2019,123,8,Annie Rice,Aye
2018-2019,123,9,Dan Guenther,Aye
2018-2019,123,10,Joseph Vollmer,Aye
2018-2019,123,11,Sarah Martin,Aye
2018-2019,123,13,Beth Murphy,Aye
2018-2019,123,14,Carol Howard,Aye
2018-2019,123,15,Megan E. Green,Aye
2018-2019,123,16,Tom Oldenburg,Aye
2018-2019,123,17,Joseph D Roddy,Aye
2018-2019,123,18,Terry Kennedy,Aye
2018-2019,123,19,Marlene E Davis,Aye
2018-2019,123,20,Cara Spencer,Aye
2018-2019,123,21,John Collins-Muhammad,Aye
2018-2019,123,22,Jeffrey L Boyd,Aye
2018-2019,123,24,Scott Ogilvie,Aye
2018-2019,123,25,Shane Cohn,Aye
2018-2019,123,26,Frank Williamson,Aye
2018-2019,123,27,Pam Boyd,Aye
2018-2019,123,28,Heather Navarro,Aye
2018-2019,123,President,Lewis E Reed,Aye
2018-2019,123,3,Brandon Bosley,Did Not Vote
2018-2019,123,12,Larry Arnowitz,Did Not Vote
2018-2019,123,2,Lisa Middlebrook,Absent
2018-2019,123,23,Joseph Vaccaro,Absent
2018-2019,130,1,Sharon Tyus,Aye
2018-2019,130,4,Samuel L Moore,Aye
2018-2019,130,5,Tammika Hubbard,Aye
2018-2019,130,6,Christine Ingrassia,Aye
2018-2019,130,7,Jack Coatar,Aye
2018-2019,130,8,Annie Rice,Aye
2018-2019,130,9,Dan Guenther,Aye
2018-2019,130,10,Joseph Vollmer,Aye
2018-2019,130,11,Sarah Martin,Aye
2018-2019,130,13,Beth Murphy,Aye
2018-2019,130,14,Carol Howard,Aye
2018-2019,130,15,Megan E. Green,Aye
2018-2019,130,16,Tom Oldenburg,Aye
2018-2019,130,17,Joseph D Roddy,Aye
2018-2019,130,18,Terry Kennedy,Aye
2018-2019,130,19,Marlene E Davis,Aye
2018-2019,130,20,Cara Spencer,Aye
2018-2019,130,21,John Collins-Muhammad,Aye
2018-2019,130,22,Jeffrey L Boyd,Aye
2018-2019,130,24,Scott Ogilvie,Aye
2018-2019,130,25,Shane Cohn,Aye
2018-2019,130,26,Frank Williamson,Aye
2018-2019,130,27,Pam Boyd,Aye
2018-2019,130,28,Heather Navarro,Aye
2018-2019,130,President,Lewis E Reed,Aye
2018-2019,130,3,Brandon Bosley,Did Not Vote
2018-2019,130,12,Larry Arnowitz,Did Not Vote
2018-2019,130,2,Lisa Middlebrook,Absent
2018-2019,130,23,Joseph Vaccaro,Absent
2018-2019,132,1,Sharon Tyus,Aye
2018-2019,132,3,Brandon Bosley,Aye
2018-2019,132,4,Samuel L Moore,Aye
2018-2019,132,5,Tammika Hubbard,Aye
2018-2019,132,6,Christine Ingrassia,Aye
2018-2019,132,7,Jack Coatar,Aye
2018-2019,132,8,Annie Rice,Aye
2018-2019,132,9,Dan Guenther,Aye
2018-2019,132,10,Joseph Vollmer,Aye
2018-2019,132,11,Sarah Martin,Aye
2018-2019,132,13,Beth Murphy,Aye
2018-2019,132,14,Carol Howard,Aye
2018-2019,132,15,Megan E. Green,Aye
2018-2019,132,16,Tom Oldenburg,Aye
2018-2019,132,17,Joseph D Roddy,Aye
2018-2019,132,18,Terry Kennedy,Aye
2018-2019,132,19,Marlene E Davis,Aye
2018-2019,132,20,Cara Spencer,Aye
2018-2019,132,22,Jeffrey L Boyd,Aye
2018-2019,132,24,Scott Ogilvie,Aye
2018-2019,132,25,Shane Cohn,Aye
2018-2019,132,26,Frank Williamson,Aye
2018-2019,132,27,Pam Boyd,Aye
2018-2019,132,28,Heather Navarro,Aye
2018-2019,132,President,Lewis E Reed,Aye
2018-2019,132,12,Larry Arnowitz,Did Not Vote
2018-2019,132,21,John Collins-Muhammad,Did Not Vote
2018-2019,132,2,Lisa Middlebrook,Absent
2018-2019,132,23,Joseph Vaccaro,Absent
2018-2019,6,1,Sharon Tyus,Aye
2018-2019,6,2,Lisa Middlebrook,Aye
2018-2019,6,6,Christine Ingrassia,Aye
2018-2019,6,7,Jack Coatar,Aye
2018-2019,6,8,Annie Rice,Aye
2018-2019,6,9,Dan Guenther,Aye
2018-2019,6,10,Joseph Vollmer,Aye
2018-2019,6,12,Larry Arnowitz,Aye
2018-2019,6,13,Beth Murphy,Aye
2018-2019,6,14,Carol Howard,Aye
2018-2019,6,15,Megan E. Green,Aye
2018-2019,6,16,Tom Oldenburg,Aye
2018-2019,6,17,Joseph D Roddy,Aye
2018-2019,6,18,Terry Kennedy,Aye
2018-2019,6,19,Marlene E Davis,Aye
2018-2019,6,20,Cara Spencer,Aye
2018-2019,6,22,Jeffrey L Boyd,Aye
2018-2019,6,24,Scott Ogilvie,Aye
2018-2019,6,25,Shane Cohn,Aye
2018-2019,6,26,Frank Williamson,Aye
2018-2019,6,27,Pam Boyd,Aye
2018-2019,6,28,Heather Navarro,Aye
2018-2019,6,President,Lewis E Reed,Aye
2018-2019,6,4,Samuel L Moore,Did Not Vote
2018-2019,6,21,John Collins-Muhammad,Did Not Vote
2018-2019,6,3,Brandon Bosley,Absent
2018-2019,6,5,Tammika Hubbard,Absent
2018-2019,6,11,Sarah Martin,Absent
2018-2019,6,23,Joseph Vaccaro,Absent
2018-2019,124,1,Sharon Tyus,Aye
2018-2019,124,2,Lisa Middlebrook,Aye
2018-2019,124,6,Christine Ingrassia,Aye
2018-2019,124,7,Jack Coatar,Aye
2018-2019,124,8,Annie Rice,Aye
2018-2019,124,9,Dan Guenther,Aye
2018-2019,124,10,Joseph Vollmer,Aye
2018-2019,124,12,Larry Arnowitz,Aye
2018-2019,124,13,Beth Murphy,Aye
2018-2019,124,14,Carol Howard,Aye
2018-2019,124,15,Megan E. Green,Aye
2018-2019,124,16,Tom Oldenburg,Aye
2018-2019,124,17,Joseph D Roddy,Aye
2018-2019,124,18,Terry Kennedy,Aye
2018-2019,124,19,Marlene E Davis,Aye
2018-2019,124,20,Cara Spencer,Aye
2018-2019,124,21,John Collins-Muhammad,Aye
2018-2019,124,22,Jeffrey L Boyd,Aye
2018-2019,124,24,Scott Ogilvie,Aye
2018-2019,124,25,Shane Cohn,Aye
2018-2019,124,26,Frank Williamson,Aye
2018-2019,124,27,Pam Boyd,Aye
2018-2019,124,28,Heather Navarro,Aye
2018-2019,124,President,Lewis E Reed,Aye
2018-2019,124,4,Samuel L Moore,Did Not Vote
2018-2019,124,3,Brandon Bosley,Absent
2018-2019,124,5,Tammika Hubbard,Absent
2018-2019,124,11,Sarah Martin,Absent
2018-2019,124,23,Joseph Vaccaro,Absent
2018-2019,111,2,Lisa Middlebrook,Aye
2018-2019,111,3,Brandon Bosley,Aye
2018-2019,111,4,Samuel L Moore,Aye
