unique_id,session,bbid,sponsor,date of vote, title, url
2016-2017-278,2016-2017,278,Lyda Krewson,02/03/2017,Northgate TIF Plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10726
2016-2017-279,2016-2017,279,Lyda Krewson,02/03/2017,Northgate TIF Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10727
2016-2017-286,2016-2017,286,Joseph D Roddy,02/03/2017,Armory TIF Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10734
2016-2017-288,2016-2017,288,Thomas A Villa,02/03/2017,Amendment to Carondelet Coke Redevelopment Project,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10736
2016-2017-293,2016-2017,293,Christine Ingrassia,02/03/2017,Redevelopment plan for 2232-2256 S. Grand,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10741
2016-2017-294,2016-2017,294,Dionne Flowers,02/03/2017,Ordinance prohibiting the use of smokeless tobacco at sporting events,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10742
2016-2017-297,2016-2017,297,Tammika Hubbard,02/03/2017,Jefferson Arms TIF Plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10745
2016-2017-298,2016-2017,298,Tammika Hubbard,02/03/2017,Jefferson Arms TIF Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10746
2016-2017-100,2016-2017,100,Stephen Conway,01/30/2017,Extension of agreement with Hallmark Hotels,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10547
2016-2017-190,2016-2017,190,Donna Baringer,01/30/2017,Zoning change for 4650 Hampton,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10638
2016-2017-191,2016-2017,191,Jack Coatar,01/30/2017,Zoning change for Russell Blvd. Apartments,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10639
2016-2017-200,2016-2017,200,Marlene E Davis,01/30/2017,Repealing ordinance 69589 Liquor Moratorium in 19th Ward,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10648
2016-2017-205,2016-2017,205,Jack Coatar,01/30/2017,Ordinance establishing Building Energy Awareness,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10653
2016-2017-213,2016-2017,213,Lyda Krewson,01/30/2017,Transfer of funds from Airport Stabilization Fund to Airport Revenue Fund,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10661
2016-2017-214,2016-2017,214,Lyda Krewson,01/30/2017,Cargo city lease agreement with Southwest Airlines,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10662
2016-2017-216,2016-2017,216,Terry Kennedy,01/30/2017,Zoning change for Deaconess Foundation,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10664
2016-2017-218,2016-2017,218,Samuel L Moore,01/30/2017,Revision to Greater Ville Special Use District (zoning),https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10666
2016-2017-220,2016-2017,220,Frank Williamson,01/30/2017,Whistleblower ordinance,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10668
2016-2017-225,2016-2017,225,Frank Williamson,01/30/2017,Circuit Attorney pay bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10673
2016-2017-229,2016-2017,229,Kenneth Ortmann,01/30/2017,Ordinance establishing the Cherokee Street CID,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10677
2016-2017-230,2016-2017,230,Beth Murphy,01/30/2017,Redevelopment plan for 5092 Milentz,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10678
2016-2017-232,2016-2017,232,Joseph D Roddy,01/30/2017,Redevelopment plan for 1519 Tower Grove Avenue,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10680
2016-2017-233,2016-2017,233,Joseph D Roddy,01/30/2017,Redevelopment plan for 4101-4117 Manchester,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10681
2016-2017-234,2016-2017,234,Joseph D Roddy,01/30/2017,Redevelopment plan for 4140 & 4145 Park Ave.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10682
2016-2017-236,2016-2017,236,Jack Coatar,01/30/2017,Redevelopment plan for 1302-24 1314 R Russell Blvd & 2128 Dolman St.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10684
2016-2017-237,2016-2017,237,Cara Spencer,01/30/2017,Redevelopment plan for 3305 Winnebago St.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10685
2016-2017-238,2016-2017,238,Cara Spencer,01/30/2017,Redevelopment plan for Chippewa Park Scattered Sites,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10686
2016-2017-239,2016-2017,239,Scott Ogilvie,01/30/2017,Redevelopment plan for 5814 West Park,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10687
2016-2017-240,2016-2017,240,Kenneth Ortmann,01/30/2017,Redevelopment plan for 1828 Victor,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10688
2016-2017-241,2016-2017,241,Kenneth Ortmann,01/30/2017,Redevelopment plan for 2720 Indiana,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10689
2016-2017-242,2016-2017,242,Stephen Conway,01/30/2017,Redevelopment plan for 3901-3905 Shaw and 3866-3868 3900-3904 Detonty St.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10690
2016-2017-217,2016-2017,217,Frank Williamson,01/30/2017,City resident job applicant bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10665
2016-2017-142,2016-2017,142,Megan E. Green,01/30/2017,Barring tractor-trailer traffic on a section of Morganford,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10618
