session,bbid,sponsor,date of vote, title, url
2018-2019,102,Marlene E Davis,10/12/2018,An ordinance recommended and approved by the Airport Commission and the Board of Estimate and Apportionment authorizing and directing the Mayor and the Comptroller on behalf of the City of St. Louis (the "City") the owner and operator of St. Louis,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11162
2018-2019,112,Jack Coatar,10/12/2018,Establishing a three-way stop site at the intersection of Missouri Avenue and Ann Avenue,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11173
2018-2019,113,Joseph Vollmer,10/12/2018,Redevelopment Plan for the 3201 Morgan Ford Rd. Area,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11177
2018-2019,115,Terry Kennedy,10/12/2018,Redevelopment Plan for the 408 – 410 N. Sarah St. Area,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11179
2018-2019,118,Cara Spencer,10/12/2018,An ordinance approving a Redevelopment Plan for the 3520-3522 Arkansas Ave. Area,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11183
2018-2019,110,Frank Williamson,10/05/2018,GENERAL OBLIGATION BONDS SERIES 2018,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11176
2018-2019,67,Jack Coatar,07/13/2018,Terminate and dissolve the Orpheum Theater Community District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11127
2018-2019,87,Beth Murphy,07/13/2018,Honorary street name Robert Prager Way to begin at the intersection of Morgan Ford Road and Bates Street and run west on Bates Street to the intersection of Bates Street and Gravois Avenue.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11147
2018-2019,90,Jack Coatar,07/13/2018,An Ordinance Amending Ordinance Nos. 69146 and 69153; authorizing other related actions; and containing a Severability Clause.,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11150
2018-2019,32,Jeffrey L Boyd,07/06/2018,business license regulations set forth in Title 8,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11077
2018-2019,10,Jack Coatar,07/06/2018,Planning Commission pertaining to the Zoning Code Title 26,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11079
2018-2019,53,Terry Kennedy,07/06/2018,2018 International Building Code,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11113
2018-2019,54,Terry Kennedy,07/06/2018,2018 International Residential Code,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11114
2018-2019,55,Terry Kennedy,07/06/2018,2018 International Fire Code,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11115
2018-2019,56,Terry Kennedy,07/06/2018,2018 International Existing Building Code with amendments,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11116
